iter	Passed	Remaining
273	76753	119332
274	77028	119044
275	77292	118739
276	77559	118438
277	77825	118137
278	78098	117848
279	78352	117528
280	78619	117230
281	78883	116926
282	79148	116624
283	79416	116327
284	79711	116071
285	79997	115800
286	80271	115513
287	80547	115227
288	80835	114959
289	81131	114703
290	81417	114431
291	81712	114173
292	81991	113892
293	82252	113587
294	82533	113309
295	82846	113074
296	83144	112819
297	83421	112535
298	83704	112259
299	83995	111993
300	84287	111730
301	84566	111448
302	84842	111162
303	85117	110876
304	85385	110581
305	85654	110286
306	85937	110010
307	86231	109748
308	86520	109480
309	86805	109207
310	87061	108896
311	87331	108604
312	87614	108328
313	87883	108035
314	88154	107744
315	88416	107442
316	88706	107174
317	88990	106900
318	89258	106607
319	89533	106321
320	89798	106024
321	90058	105721
322	90320	105420
323	90615	105159
324	90883	104865
325	91153	104574
326	91436	104298
327	91715	104018
328	91997	103741
329	92275	103460
330	92553	103179
331	92832	102898
332	93121	102628
333	93397	102345
334	93675	102064
335	93955	101784
336	94218	101487
337	94497	101207
338	94782	100934
339	95052	100643
340	95325	100357
341	95588	100060
342	95859	99771
343	96129	99482
344	96407	99201
345	96696	98932
346	97081	98760
347	97365	98484
348	97656	98215
349	97924	97924
350	98194	97635
351	98453	97334
352	98726	97048
353	99005	96768
354	99279	96482
355	99546	96191
356	99826	95911
357	100116	95642
358	100393	95360
359	100666	95073
360	100937	94786
361	101215	94504
362	101481	94213
363	101737	93911
364	102011	93627
365	102274	93332
366	102540	93041
367	102802	92745
368	103078	92463
369	103376	92200
370	103656	91921
371	103935	91642
372	104205	91354
373	104465	91057
374	104751	90784
375	105032	90506
376	105295	90213
377	105574	89933
378	105851	89652
379	106144	89384
380	106410	89094
381	106683	88809
382	106957	88526
383	107235	88245
384	107503	87957
385	107766	87665
386	108040	87381
387	108322	87104
388	108590	86816
389	108856	86526
390	109149	86258
391	109425	85976
392	109689	85685
393	109955	85396
394	110243	85124
395	110513	84838
396	110782	84551
397	111055	84268
398	111335	83989
399	111605	83704
400	111873	83416
401	112175	83155
402	112461	82880
403	112750	82609
404	113050	82345
405	113315	82055
406	113585	81770
407	113861	81489
408	114136	81206
409	114411	80925
410	114686	80643
411	114957	80358
412	115246	80086
413	115525	79807
414	115795	79522
415	116074	79242
416	116344	78958
417	116619	78676
418	116895	78395
419	117170	78113
420	117435	77825
421	117713	77545
422	117972	77254
423	118243	76969
424	118513	76685
425	118806	76415
426	119068	76125
427	119356	75853
428	119633	75572
429	119905	75289
430	120188	75013
431	120447	74721
432	120744	74454
433	121009	74166
434	121289	73888
435	121563	73607
436	121838	73325
437	122113	73044
438	122374	72755
439	122647	72473
440	122901	72180
441	123182	71902
442	123451	71618
443	123733	71341
444	123999	71055
445	124268	70771
446	124542	70490
447	124814	70207
448	125102	69934
449	125379	69655
450	125651	69372
451	125947	69104
452	126212	68817
453	126468	68526
454	126736	68242
455	127020	67967
456	127322	67701
457	127607	67425
458	127910	67160
459	128174	66873
460	128436	66586
461	128706	66303
462	129001	66033
463	129272	65750
464	129549	65471
465	129811	65184
466	130099	64910
467	130378	64632
468	130636	64343
469	130906	64060
470	131234	63806
471	131510	63526
472	131799	63252
473	132074	62972
474	132344	62689
475	132625	62411
476	132891	62127
477	133178	61852
478	133451	61571
479	133714	61285
480	134000	61010
481	134271	60728
482	134531	60441
483	134809	60162
484	135084	59882
485	135367	59606
486	135635	59323
487	135929	59051
488	136196	58767
489	136454	58480
490	136722	58197
491	136980	57910
492	137245	57626
493	137524	57348
494	137788	57064
495	138064	56784
496	138321	56497
497	138590	56215
498	138868	55936
499	139131	55652
500	139420	55378
501	139705	55103
502	139976	54821
503	140264	54547
504	140535	54266
505	140826	53992
506	141112	53717
507	141432	53454
508	141726	53182
509	142020	52909
510	142315	52637
511	142617	52367
512	142918	52097
513	143215	51824
514	143505	51550
515	143776	51268
516	144034	50983
517	144320	50707
518	144599	50428
519	144860	50144
520	145148	49868
521	145412	49585
522	145680	49302
523	145954	49022
524	146226	48742
525	146486	48457
526	146768	48180
527	147036	47898
528	147323	47622
529	147602	47344
530	147863	47060
531	148119	46774
532	148380	46490
533	148655	46211
534	148928	45931
535	149204	45652
536	149479	45372
537	149752	45092
538	150041	44817
539	150346	44547
540	150632	44270
541	150894	43987
542	151171	43708
543	151452	43431
544	151724	43151
545	152001	42872
546	152273	42591
547	152538	42309
548	152800	42027
549	153079	41748
550	153333	41464
551	153602	41183
552	153878	40904
553	154156	40626
554	154422	40344
555	154697	40065
556	154966	39784
557	155245	39506
558	155527	39229
559	155796	38949
560	156060	38667
561	156335	38388
562	156595	38105
563	156882	37829
564	157160	37551
565	157430	37271
566	157703	36992
567	157971	36711
568	158275	36439
569	158549	36160
570	158837	35884
571	159104	35603
572	159382	35325
573	159647	35044
574	159934	34768
575	160225	34492
576	160504	34214
577	160764	33932
578	161040	33654
579	161320	33376
580	161596	33098
581	161876	32820
582	162147	32540
583	162415	32260
584	162692	31982
585	162998	31709
586	163277	31431
587	163576	31157
588	163879	30883
589	164152	30604
590	164441	30328
591	164731	30052
592	165025	29777
593	165310	29499
594	165576	29219
595	165843	28939
596	166105	28658
597	166382	28379
598	166638	28097
599	166906	27817
600	167173	27537
601	167450	27259
602	167732	26981
603	168017	26704
604	168298	26427
605	168571	26148
606	168837	25868
607	169107	25588
608	169383	25310
609	169653	25030
610	169925	24751
611	170203	24473
612	170477	24195
613	170757	23917
614	171034	23638
615	171300	23359
616	171579	23081
617	171837	22800
618	172106	22521
619	172372	22241
620	172671	21966
621	172957	21689
622	173229	21410
623	173506	21132
624	173777	20853
625	174048	20574
626	174319	20295
627	174720	20031
628	174985	19751
629	175281	19475
630	175541	19195
631	175808	18916
632	176084	18637
633	176380	18361
634	176655	18082
635	176934	17804
636	177214	17526
637	177479	17247
638	177757	16969
639	178023	16689
640	178308	16412
641	178573	16132
642	178852	15854
643	179127	15576
644	179392	15297
645	179687	15020
646	179978	14743
647	180233	14463
648	180507	14184
649	180802	13907
650	181081	13629
651	181354	13351
652	181624	13072
653	181914	12795
654	182190	12516
655	182468	12238
656	182735	11959
657	183006	11681
658	183277	11402
659	183562	11125
660	183826	10846
661	184085	10566
662	184363	10288
663	184642	10010
664	184907	9731
665	185189	9454
666	185451	9175
667	185723	8896
668	185990	8618
669	186257	8339
670	186539	8062
671	186815	7783
672	187080	7505
673	187359	7227
674	187640	6949
675	187907	6671
676	188188	6393
677	188469	6115
678	188751	5837
679	189033	5559
680	189301	5281
681	189571	5003
682	189843	4725
683	190128	4447
684	190417	4169
685	190694	3891
686	190956	3613
687	191228	3335
688	191512	3057
689	191784	2779
690	192046	2501
691	192306	2223
692	192572	1945
693	192837	1667
694	193114	1389
695	193397	1111
696	193675	833
697	193940	555
698	194215	277
699	194505	0
